Subject,Year,Score Range,Original Level,Corrected Level
ENG,2014,"[41.76, 42.00]",1,2
ENG,2014,"[57.00, 57.21]",3,2
ENG,2015,"[42.00, 43.45]",2,1
ENG,2015,"[57.00, 58.15]",3,2
ENG,2016,"[42.00, 42.72]",2,1
ENG,2016,"[57.00, 57.21]",3,2
ENG,2017,"[42.00, 42.73]",2,1
ENG,2017,"[56.06, 57.00]",2,3
ENG,2018,"[42.00, 42.18]",2,1
ENG,2018,"[54.79, 57.00]",2,3
ENG,2019,"[42.00, 43.43]",2,1
ENG,2019,"[55.25, 57.00]",2,3
ENG,2020,"[42.00, 43.11]",2,1
ENG,2020,"[54.82, 57.00]",2,3
ENG,2021,"[41.76, 42.00]",1,2
ENG,2021,"[53.35, 57.00]",2,3
MATH,2014,"[42.74, 43.00]",1,2
MATH,2014,"[56.00, 56.20]",3,2
MATH,2015,"[42.70, 43.00]",1,2
MATH,2015,"[55.26, 56.00]",2,3
MATH,2016,"[42.67, 43.00]",1,2
MATH,2016,"[55.18, 56.00]",2,3
MATH,2017,"[42.59, 43.00]",1,2
MATH,2017,"[54.71, 56.00]",2,3
MATH,2018,"[42.71, 43.00]",1,2
MATH,2018,"[54.44, 56.00]",2,3
MATH,2019,"[43.00, 43.72]",2,1
MATH,2019,"[55.29, 56.00]",2,3
MATH,2020,"[43.00, 45.30]",2,1
MATH,2020,"[56.00, 56.24]",3,2
MATH,2021,"[43.00, 44.00]",2,1
MATH,2021,"[55.29, 56.00]",2,3
NOR,2016,"[41.48, 42.00]",1,2
NOR,2016,"[55.00, 55.18]",3,2
NOR,2017,"[42.00, 42.50]",2,1
NOR,2017,"[54.65, 55.00]",2,3
NOR,2018,"[42.00, 43.11]",2,1
NOR,2018,"[55.00, 55.11]",3,2
NOR,2019,"[42.00, 44.18]",2,1
NOR,2019,"[55.00, 55.69]",3,2
NOR,2020,"[42.00, 44.37]",2,1
NOR,2020,"[55.00, 56.02]",3,2
NOR,2021,"[42.00, 44.27]",2,1
NOR,2021,"[55.00, 55.28]",3,2
