subject,grade_level,year,level_old,level_new,N
MATH,8,2015,2,2,8384
MATH,8,2015,2,3,3881
MATH,8,2015,3,1,15
MATH,8,2015,3,3,16954
MATH,8,2015,3,4,4160
MATH,8,2015,4,1,18
MATH,8,2015,4,4,9702
MATH,8,2015,4,5,2664
MATH,8,2015,5,1,7
MATH,8,2015,5,5,6205
MATH,8,2016,1,1,4186
MATH,8,2016,1,2,33
MATH,8,2016,2,1,12
MATH,8,2016,2,2,10530
MATH,8,2016,2,3,2481
MATH,8,2016,3,1,26
MATH,8,2016,3,3,19822
MATH,8,2016,3,4,2826
MATH,8,2016,4,1,14
MATH,8,2016,4,4,10279
MATH,8,2016,4,5,1734
MATH,8,2016,5,1,6
MATH,8,2016,5,5,6260
MATH,8,2017,1,1,4523
MATH,8,2017,2,1,94
MATH,8,2017,2,2,10529
MATH,8,2017,2,3,2474
MATH,8,2017,3,3,18863
MATH,8,2017,3,4,3366
MATH,8,2017,4,4,10391
MATH,8,2017,4,5,2382
MATH,8,2017,5,5,6386
MATH,8,2018,1,1,5101
MATH,8,2018,2,1,368
MATH,8,2018,2,2,9830
MATH,8,2018,2,3,2216
MATH,8,2018,3,3,18143
MATH,8,2018,3,4,3989
MATH,8,2018,4,4,10175
MATH,8,2018,4,5,3179
MATH,8,2018,5,5,6053
MATH,8,2019,1,1,4448
MATH,8,2019,2,1,509
MATH,8,2019,2,2,11809
MATH,8,2019,2,3,1779
MATH,8,2019,3,3,20808
MATH,8,2019,3,4,2457
MATH,8,2019,4,4,10967
MATH,8,2019,4,5,1581
MATH,8,2019,5,5,6211
MATH,8,2020,1,1,4644
MATH,8,2020,2,1,2497
MATH,8,2020,2,2,11527
MATH,8,2020,3,2,1094
MATH,8,2020,3,3,21680
MATH,8,2020,3,4,404
MATH,8,2020,4,4,11286
MATH,8,2020,4,5,839
MATH,8,2020,5,5,6209
MATH,8,2021,1,1,5116
MATH,8,2021,2,1,2487
MATH,8,2021,2,2,11236
MATH,8,2021,3,2,918
MATH,8,2021,3,3,21789
MATH,8,2021,3,4,968
MATH,8,2021,4,4,11677
MATH,8,2021,4,5,1336
MATH,8,2021,5,5,6150
NOR,5,2016,1,1,12735
NOR,5,2016,1,2,2052
